Day Master ⬇️ \ Target ➡️,Jia (+Wood),Yi (-Wood),Bing (+Fire),Ding (-Fire),Wu (+Earth),Ji (-Earth),Geng (+Metal),Xin (-Metal),Ren (+Water),Gui (-Water)
Jia (+Wood),Friend,Rob W.,Eat. God,Hurt. Off.,Ind. W.,Dir. W.,7 Kills,Dir. Off.,Ind. Res.,Dir. Res.
Yi (-Wood),Rob W.,Friend,Hurt. Off.,Eat. God,Dir. W.,Ind. W.,Dir. Off.,7 Kills,Dir. Res.,Ind. Res.
Bing (+Fire),Ind. Res.,Dir. Res.,Friend,Rob W.,Eat. God,Hurt. Off.,Ind. W.,Dir. W.,7 Kills,Dir. Off.
Ding (-Fire),Dir. Res.,Ind. Res.,Rob W.,Friend,Hurt. Off.,Eat. God,Dir. W.,Ind. W.,Dir. Off.,7 Kills
Wu (+Earth),7 Kills,Dir. Off.,Ind. Res.,Dir. Res.,Friend,Rob W.,Eat. God,Hurt. Off.,Ind. W.,Dir. W.
Ji (-Earth),Dir. Off.,7 Kills,Dir. Res.,Ind. Res.,Rob W.,Friend,Hurt. Off.,Eat. God,Dir. W.,Ind. W.
Geng (+Metal),Ind. W.,Dir. W.,7 Kills,Dir. Off.,Ind. Res.,Dir. Res.,Friend,Rob W.,Eat. God,Hurt. Off.
Xin (-Metal),Dir. W.,Ind. W.,Dir. Off.,7 Kills,Dir. Res.,Ind. Res.,Rob W.,Friend,Hurt. Off.,Eat. God
Ren (+Water),Eat. God,Hurt. Off.,Ind. W.,Dir. W.,7 Kills,Dir. Off.,Ind. Res.,Dir. Res.,Friend,Rob W.
Gui (-Water),Hurt. Off.,Eat. God,Dir. W.,Ind. W.,Dir. Off.,7 Kills,Dir. Res.,Ind. Res.,Rob W.,Friend
